"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.513284559E2,6.494438614E1,2.539486829E1,-2.513853360E0,1.319999933E0,8.569999695E1,2.500000000E0,2.000000000E0
1.523336300E2,6.494438739E1,2.539490425E1,-1.513851327E0,1.179999948E0,8.969999695E1,2.500000000E0,2.000000000E0
1.533459278E2,6.494438815E1,2.539493292E1,-1.513849919E0,1.289999962E0,8.559999847E1,2.500000000E0,2.000000000E0
1.543387555E2,6.494438991E1,2.539495664E1,-1.513847782E0,1.259999990E0,8.519999695E1,2.500000000E0,2.000000000E0
1.553363701E2,6.494439171E1,2.539498388E1,-1.513845516E0,1.250000000E0,8.280000305E1,2.500000000E0,2.000000000E0
1.563438694E2,6.494439611E1,2.539500961E1,-2.513841068E0,1.289999962E0,8.980000305E1,2.500000000E0,2.000000000E0
1.573391504E2,6.494439519E1,2.539503719E1,-2.513841122E0,1.240000010E0,9.259999847E1,2.500000000E0,2.000000000E0
1.583431592E2,6.494439787E1,2.539506200E1,-2.513838168E0,1.259999990E0,9.019999695E1,2.500000000E0,2.000000000E0
1.593580693E2,6.494439892E1,2.539508723E1,-2.513836600E0,1.250000000E0,9.290000153E1,2.500000000E0,2.000000000E0
1.603376652E2,6.494439938E1,2.539511355E1,-2.513835504E0,1.269999981E0,9.669999695E1,2.500000000E0,2.000000000E0
1.613305885E2,6.494439729E1,2.539514364E1,-3.513836495E0,1.319999933E0,9.869999695E1,2.500000000E0,2.000000000E0
1.623325958E2,6.494439205E1,2.539517700E1,-3.513840086E0,1.259999990E0,1.020000000E2,2.500000000E0,2.000000000E0
1.633333610E2,6.494439083E1,2.539520348E1,-3.513840419E0,1.350000024E0,9.890000153E1,2.500000000E0,2.000000000E0
1.643495778E2,6.494438869E1,2.539523877E1,-4.513841307E0,1.309999943E0,9.269999695E1,2.500000000E0,2.000000000E0
1.653608503E2,6.494438970E1,2.539526559E1,-4.513839733E0,1.269999981E0,9.509999847E1,2.500000000E0,2.000000000E0
1.663365821E2,6.494438777E1,2.539529091E1,-4.513840707E0,1.259999990E0,9.380000305E1,2.500000000E0,2.000000000E0
1.673274985E2,6.494438325E1,2.539531915E1,-3.513843826E0,1.319999933E0,9.909999847E1,2.500000000E0,2.000000000E0
1.683518283E2,6.494437998E1,2.539533961E1,-4.513846077E0,1.299999952E0,9.709999847E1,2.500000000E0,2.000000000E0
1.693382158E2,6.494437612E1,2.539536978E1,-4.513848571E0,1.319999933E0,9.909999847E1,2.500000000E0,2.000000000E0
1.703396730E2,6.494437160E1,2.539539744E1,-4.513851705E0,1.279999971E0,1.031999969E2,2.500000000E0,2.000000000E0
1.712901829E2,6.494436774E1,2.539542820E1,-4.513854184E0,1.319999933E0,1.025000000E2,2.500000000E0,2.000000000E0
1.723086990E2,6.494436367E1,2.539545092E1,-3.513857056E0,1.209999919E0,1.171999969E2,2.500000000E0,2.000000000E0
1.733469346E2,6.494435869E1,2.539547129E1,-3.513860779E0,1.289999962E0,1.204000015E2,2.500000000E0,2.000000000E0
